time,open,high,low,close,volume
6/18/2020,"$9,386.00","$9,410.00","$9,256.00","$9,315.00",$23.30B
6/17/2020,"$9,463.00","$9,465.00","$9,324.00","$9,405.00",$22.02B
6/16/2020,"$9,526.00","$9,551.00","$9,283.00","$9,468.00",$24.44B
6/15/2020,"$9,430.00","$9,595.00","$9,418.00","$9,541.00",$26.32B
6/14/2020,"$9,344.00","$9,469.00","$8,968.00","$9,415.00",$32.63B
6/13/2020,"$9,484.00","$9,484.00","$9,274.00","$9,350.00",$21.36B
6/12/2020,"$9,468.00","$9,474.00","$9,392.00","$9,474.00",$21.94B
6/11/2020,"$9,295.00","$9,548.00","$9,273.00","$9,469.00",$27.68B
6/10/2020,"$9,884.00","$9,901.00","$9,153.00","$9,308.00",$35.25B
6/9/2020,"$9,776.00","$9,954.00","$9,741.00","$9,875.00",$27.72B
6/8/2020,"$9,779.00","$9,849.00","$9,611.00","$9,772.00",$25.21B
6/7/2020,"$9,733.00","$9,794.00","$9,653.00","$9,778.00",$22.85B
6/6/2020,"$9,671.00","$9,785.00","$9,453.00","$9,733.00",$25.84B
6/5/2020,"$9,632.00","$9,709.00","$9,598.00","$9,676.00",$22.09B
6/4/2020,"$9,792.00","$9,829.00","$9,627.00","$9,635.00",$25.93B
6/3/2020,"$9,661.00","$9,826.00","$9,501.00","$9,779.00",$27.59B
6/2/2020,"$9,521.00","$9,670.00","$9,447.00","$9,654.00",$27.46B
6/1/2020,"$10,156.00","$10,156.00","$9,327.00","$9,511.00",$42.04B
5/31/2020,"$9,449.00","$10,220.00","$9,449.00","$10,122.00",$36.43B
5/30/2020,"$9,680.00","$9,680.00","$9,411.00","$9,446.00",$29.46B
5/29/2020,"$9,424.00","$9,695.00","$9,424.00","$9,681.00",$32.70B
5/28/2020,"$9,568.00","$9,577.00","$9,359.00","$9,421.00",$33.62B
5/27/2020,"$9,200.00","$9,591.00","$9,159.00","$9,561.00",$34.77B
5/26/2020,"$8,841.00","$9,199.00","$8,841.00","$9,199.00",$32.47B
5/25/2020,"$8,891.00","$8,964.00","$8,751.00","$8,820.00",$30.14B
5/24/2020,"$8,740.00","$8,954.00","$8,694.00","$8,883.00",$33.90B
5/23/2020,"$9,179.00","$9,244.00","$8,729.00","$8,740.00",$33.36B
5/22/2020,"$9,178.00","$9,283.00","$9,099.00","$9,182.00",$29.47B
5/21/2020,"$9,067.00","$9,258.00","$8,989.00","$9,187.00",$33.37B
5/20/2020,"$9,507.00","$9,540.00","$8,850.00","$9,072.00",$42.04B
5/19/2020,"$9,770.00","$9,808.00","$9,341.00","$9,499.00",$39.08B
5/18/2020,"$9,727.00","$9,873.00","$9,505.00","$9,766.00",$41.64B
5/17/2020,"$9,682.00","$9,903.00","$9,495.00","$9,708.00",$42.82B
5/16/2020,"$9,382.00","$9,853.00","$9,352.00","$9,681.00",$40.86B
5/15/2020,"$9,325.00","$9,561.00","$9,253.00","$9,382.00",$36.38B
5/14/2020,"$9,790.00","$9,801.00","$9,172.00","$9,320.00",$48.31B
5/13/2020,"$9,305.00","$9,908.00","$9,277.00","$9,789.00",$57.46B
5/12/2020,"$8,824.00","$9,377.00","$8,824.00","$9,310.00",$47.59B
5/11/2020,"$8,595.00","$8,954.00","$8,544.00","$8,820.00",$44.39B
